22.3995 	INFO 	Loaded monitor calibration from ['2025_08_11 13:43']
22.6902 	INFO 	Using renderer 'AMD Radeon(TM) Graphics' for graphics
22.6903 	INFO 	OpenGL version supported by driver is 4..
22.7855 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A1EA1DFCD0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A1EA1DFC70>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001A1EA2BD570>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(320.0), np.float64(180.0)], screen=0, size=array([1280,  720]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
22.7856 	EXP 	window1: backgroundImage = ''
22.7857 	EXP 	window1: backgroundFit = 'none'
23.4431 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
23.4432 	EXP 	window1: recordFrameIntervals = False
23.6519 	EXP 	window1: recordFrameIntervals = True
23.8338 	EXP 	Screen (0) actual frame rate measured at 60.83Hz
23.8339 	EXP 	window1: recordFrameIntervals = False
23.9130 	INFO 	keyboard.Keyboard is using ptb backend.
23.9133 	INFO 	keyboard.Keyboard is using ptb backend.
23.9718 	WARNING 	No default speaker specified in Preferences / Hardware, using first speaker found: Speaker (Realtek(R) Audio)
24.1292 	INFO 	Created stream for speaker device: Speaker (Realtek(R) Audio) (4.0)
24.1321 	EXP 	Intentional Binding_exp: status = STARTED
24.1457 	EXP 	Created polygon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
24.1520 	EXP 	Created polygon_2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1.    ,  0.0039, -1.    ]), fillColorSpace='rgb', fillRGB=array([-1.    ,  0.0039, -1.    ]), interpolate=True, lineColor=array([-1.    ,  0.0039, -1.    ]), lineColorSpace='rgb', lineRGB=array([-1.    ,  0.0039, -1.    ]), lineWidth=1.0, name='polygon_2', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
24.1521 	EXP 	sound_1: sampleRate = 48000
24.1522 	EXP 	sound_1: channels = None
24.1537 	EXP 	Sound sound_1 set volume 1.000
24.2632 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05), italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0289 	EXP 	textbox: autoLog = True
0.0371 	EXP 	Imported conditions_intentional binding.xlsx as conditions, 12 conditions, 3 params
0.0419 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'delay': 0.7, 'freq': 400.0, 'condition': 'unexp', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0550 	EXP 	polygon: autoDraw = True
1.0068 	INFO 	Keyboard events cleared
1.0066 	EXP 	polygon_2: autoDraw = True
1.0565 	EXP 	polygon: autoDraw = False
1.8460 	EXP 	Device response: <KeyPress from None: t=1.828875800001697, value=space, duration=None>
1.8474 	DATA 	Keypress: space
1.8557 	EXP 	polygon: autoDraw = False
1.8557 	EXP 	polygon_2: autoDraw = False
1.9071 	EXP 	Device response: <KeyPress from None: t=1.828875800001697, value=space, duration=0.06893090000085067>
2.5390 	EXP 	Sound sound_1 reached end of file
2.5554 	EXP 	Playing sound sound_1 on speaker Speaker (Realtek(R) Audio)
2.8548 	EXP 	Sound sound_1 stopped
2.8888 	EXP 	text: autoDraw = True
2.8888 	EXP 	textbox: autoDraw = True
5.7457 	DATA 	Mouse: Left button down, pos=(605,143)
5.7731 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'delay': 0.1, 'freq': 400.0, 'condition': 'unexp', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
5.7887 	EXP 	text: autoDraw = False
5.7887 	EXP 	textbox: autoDraw = False
5.7887 	EXP 	polygon: autoDraw = True
5.9735 	DATA 	Mouse:  Left button up, pos=(605,143)
6.0234 	EXP 	Device response: <KeyPress from None: t=6.021802300001582, value=space, duration=None>
6.0243 	DATA 	Keypress: space
6.1228 	EXP 	Device response: <KeyPress from None: t=6.021802300001582, value=space, duration=0.08502969999972265>
6.3232 	EXP 	Device response: <KeyPress from None: t=6.3123161000003165, value=space, duration=None>
6.3241 	DATA 	Keypress: space
6.3730 	EXP 	Device response: <KeyPress from None: t=6.3123161000003165, value=space, duration=0.054913500000111526>
6.5067 	EXP 	Device response: <KeyPress from None: t=6.506387400000676, value=space, duration=None>
6.5073 	DATA 	Keypress: space
6.5566 	EXP 	Device response: <KeyPress from None: t=6.506387400000676, value=space, duration=0.04867720000038389>
6.6899 	EXP 	Device response: <KeyPress from None: t=6.673546800000622, value=space, duration=None>
6.6906 	DATA 	Keypress: space
6.7390 	EXP 	Device response: <KeyPress from None: t=6.673546800000622, value=space, duration=0.05382119999921997>
6.7724 	INFO 	Keyboard events cleared
6.7722 	EXP 	polygon_2: autoDraw = True
6.7892 	EXP 	polygon: autoDraw = False
6.8558 	EXP 	Device response: <KeyPress from None: t=6.851948400002584, value=space, duration=None>
6.8572 	DATA 	Keypress: space
6.8725 	EXP 	polygon: autoDraw = False
6.8725 	EXP 	polygon_2: autoDraw = False
6.9058 	EXP 	Device response: <KeyPress from None: t=6.851948400002584, value=space, duration=0.04729829999996582>
6.9392 	EXP 	Sound sound_1 reached end of file
6.9555 	EXP 	Playing sound sound_1 on speaker Speaker (Realtek(R) Audio)
7.0239 	DATA 	Keypress: space
7.0394 	EXP 	Device response: <KeyPress from None: t=7.023250800000824, value=space, duration=None>
7.0725 	EXP 	Device response: <KeyPress from None: t=7.023250800000824, value=space, duration=0.043351299998903414>
7.2568 	EXP 	Sound sound_1 stopped
7.2710 	EXP 	text: autoDraw = True
7.2710 	EXP 	textbox: autoDraw = True
7.8835 	DATA 	Mouse: Left button down, pos=(605,143)
7.9057 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'delay': 0.4, 'freq': 1000.0, 'condition': 'exp', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
7.9221 	EXP 	text: autoDraw = False
7.9221 	EXP 	textbox: autoDraw = False
7.9221 	EXP 	polygon: autoDraw = True
8.0575 	DATA 	Mouse:  Left button up, pos=(605,143)
8.1073 	DATA 	Mouse: Left button down, pos=(605,143)
8.2400 	EXP 	Device response: <KeyPress from None: t=8.236781800002063, value=space, duration=None>
8.2406 	DATA 	Keypress: space
8.2552 	EXP 	Device response: <KeyPress from None: t=8.236781800002063, value=space, duration=0.012667299997701775>
8.2730 	DATA 	Mouse:  Left button up, pos=(605,143)
8.4569 	EXP 	Device response: <KeyPress from None: t=8.450857899999392, value=space, duration=None>
8.4579 	DATA 	Keypress: space
8.4726 	EXP 	Device response: <KeyPress from None: t=8.450857899999392, value=space, duration=0.014528400002745911>
8.6725 	EXP 	Device response: <KeyPress from None: t=8.661257700001443, value=space, duration=None>
8.6735 	DATA 	Keypress: space
8.6889 	EXP 	Device response: <KeyPress from None: t=8.661257700001443, value=space, duration=0.01192339999761316>
8.8561 	EXP 	Device response: <KeyPress from None: t=8.851655700000265, value=space, duration=None>
8.8568 	DATA 	Keypress: space
8.9081 	INFO 	Keyboard events cleared
8.9079 	EXP 	polygon_2: autoDraw = True
8.9243 	EXP 	polygon: autoDraw = False
9.0402 	EXP 	Device response: <KeyPress from None: t=9.034035299999232, value=space, duration=None>
9.0421 	DATA 	Keypress: space
9.0553 	EXP 	polygon: autoDraw = False
9.0553 	EXP 	polygon_2: autoDraw = False
9.0557 	EXP 	Device response: <KeyPress from None: t=8.851655700000265, value=space, duration=0.1959367999988899>
9.2224 	EXP 	Device response: <KeyPress from None: t=9.213158999998996, value=space, duration=None>
9.2229 	DATA 	Keypress: space
